대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
202501,105,105. 합정역 5번출구 앞,일일권(비회원),,기타,6,629.78,5.67,24467.16,717
202501,105,105. 합정역 5번출구 앞,정기권,,20대,31,1306.98,11.71,50416.87,505
202501,105,105. 합정역 5번출구 앞,정기권,,30대,36,2048.75,16.71,71970.78,826
202501,105,105. 합정역 5번출구 앞,정기권,,40대,8,748.09,6.1,26223.43,276
202501,105,105. 합정역 5번출구 앞,정기권,,50대,8,609.5,4.63,19957.97,164
202501,105,105. 합정역 5번출구 앞,정기권,,60대,3,261.67,2.25,9646.57,48
202501,105,105. 합정역 5번출구 앞,정기권,,70대이상,1,20.92,0.2,880.4,5
202501,105,105. 합정역 5번출구 앞,정기권,,기타,4,51.44,0.48,2030.0,13
202501,105,105. 합정역 5번출구 앞,정기권,F,20대,11,702.31,7.66,32990.0,462
202501,105,105. 합정역 5번출구 앞,정기권,F,30대,33,1380.32,12.59,54323.62,689
202501,105,105. 합정역 5번출구 앞,정기권,F,40대,10,1115.41,11.4,49138.6,333
202501,105,105. 합정역 5번출구 앞,정기권,F,50대,2,154.54,1.3,5565.66,74
202501,105,105. 합정역 5번출구 앞,정기권,F,60대,2,13.66,0.16,690.0,84
202501,105,105. 합정역 5번출구 앞,정기권,F,기타,8,298.51,2.36,10153.93,146
202501,105,105. 합정역 5번출구 앞,정기권,M,20대,26,798.32,6.6,28438.15,793
202501,105,105. 합정역 5번출구 앞,정기권,M,30대,74,3758.4,29.18,125812.31,1161
202501,105,105. 합정역 5번출구 앞,정기권,M,40대,58,2740.85,21.92,94439.37,905
202501,105,105. 합정역 5번출구 앞,정기권,M,50대,33,1257.9,9.44,40666.32,355
202501,105,105. 합정역 5번출구 앞,정기권,M,60대,8,226.91,2.09,9030.53,62
202501,105,105. 합정역 5번출구 앞,정기권,M,70대이상,2,177.75,1.54,6601.06,108
202501,105,105. 합정역 5번출구 앞,정기권,M,~10대,3,71.15,0.55,2376.2,24
202501,105,105. 합정역 5번출구 앞,정기권,M,기타,18,390.07,3.15,13610.27,230
202501,106,106. 합정역 7번출구 앞,일일권,,20대,24,3742.3,33.09,142669.22,1098
202501,106,106. 합정역 7번출구 앞,일일권,,30대,8,1127.66,8.99,38732.7,298
202501,106,106. 합정역 7번출구 앞,일일권,,50대,1,158.12,1.54,6654.84,84
202501,106,106. 합정역 7번출구 앞,일일권,,기타,4,345.08,3.11,13406.71,280
202501,106,106. 합정역 7번출구 앞,일일권,F,20대,25,2814.03,27.06,116586.57,1066
202501,106,106. 합정역 7번출구 앞,일일권,F,30대,3,211.87,2.14,9172.68,79
202501,106,106. 합정역 7번출구 앞,일일권,F,~10대,2,611.82,5.52,23768.97,157
202501,106,106. 합정역 7번출구 앞,일일권,F,기타,4,1114.11,8.66,37339.7,320
202501,106,106. 합정역 7번출구 앞,일일권,M,20대,23,2665.03,20.97,90306.32,794
202501,106,106. 합정역 7번출구 앞,일일권,M,30대,9,858.17,6.4,27589.54,181
202501,106,106. 합정역 7번출구 앞,일일권,M,40대,1,348.75,2.27,9785.34,55
202501,106,106. 합정역 7번출구 앞,일일권,M,~10대,22,3353.09,28.03,120786.48,1068
202501,106,106. 합정역 7번출구 앞,일일권,M,기타,1,144.21,1.3,5602.38,37
202501,106,106. 합정역 7번출구 앞,일일권(비회원),,기타,9,1780.08,16.05,69155.85,482
202501,106,106. 합정역 7번출구 앞,정기권,,20대,55,4892.16,44.61,192296.21,1645
202501,106,106. 합정역 7번출구 앞,정기권,,30대,44,2700.01,23.44,103024.78,1515
202501,106,106. 합정역 7번출구 앞,정기권,,40대,24,1590,12.67,54642.25,1543
202501,106,106. 합정역 7번출구 앞,정기권,,50대,8,809.9,6.77,29202.42,218
202501,106,106. 합정역 7번출구 앞,정기권,,60대,5,684.77,5.83,25103.91,152
202501,106,106. 합정역 7번출구 앞,정기권,,70대이상,1,\N,\N,0.0,2
202501,106,106. 합정역 7번출구 앞,정기권,,기타,6,215.87,1.77,7638.99,420
202501,106,106. 합정역 7번출구 앞,정기권,F,20대,39,2534.45,25.76,112427.37,1760
202501,106,106. 합정역 7번출구 앞,정기권,F,30대,71,5480.43,56.05,241529.16,1932
202501,106,106. 합정역 7번출구 앞,정기권,F,40대,15,1967.13,19.74,85060.19,862
202501,106,106. 합정역 7번출구 앞,정기권,F,50대,15,435.2,4,17215.53,190
202501,106,106. 합정역 7번출구 앞,정기권,F,70대이상,2,88.29,0.81,3483.74,25
202501,106,106. 합정역 7번출구 앞,정기권,F,~10대,2,481.33,4.09,17647.52,106
202501,106,106. 합정역 7번출구 앞,정기권,F,기타,14,502.56,5.36,23060.76,204
202501,106,106. 합정역 7번출구 앞,정기권,M,20대,39,3016.84,24.67,106351.48,826
202501,106,106. 합정역 7번출구 앞,정기권,M,30대,86,9422.12,81.79,352623.98,2496
202501,106,106. 합정역 7번출구 앞,정기권,M,40대,32,1804.52,14.69,63343.68,519
202501,106,106. 합정역 7번출구 앞,정기권,M,50대,31,2473.92,18.98,81859.02,833
202501,106,106. 합정역 7번출구 앞,정기권,M,60대,12,653.85,5.5,23752.63,234
202501,106,106. 합정역 7번출구 앞,정기권,M,70대이상,3,677.84,5.91,25471.93,229
202501,106,106. 합정역 7번출구 앞,정기권,M,~10대,3,182.14,1.35,5782.57,74
202501,106,106. 합정역 7번출구 앞,정기권,M,기타,23,1166.42,9.28,40053.07,388
202501,107,107. 수협 연남동지점,일일권,,20대,9,846.82,7.55,32562.24,294
202501,107,107. 수협 연남동지점,일일권,,30대,28,1510.73,12.76,55045.57,264
202501,107,107. 수협 연남동지점,일일권,,40대,2,58.45,0.57,2456.22,38
202501,107,107. 수협 연남동지점,일일권,,50대,1,115.47,1.06,4555.95,590
202501,107,107. 수협 연남동지점,일일권,,기타,1,13.66,0.13,575.1,3
202501,107,107. 수협 연남동지점,일일권,F,20대,13,484.77,4.74,20431.14,221
202501,107,107. 수협 연남동지점,일일권,F,30대,15,448.69,4.7,20196.99,381
202501,107,107. 수협 연남동지점,일일권,F,40대,5,228.85,2.18,9380.74,167
202501,107,107. 수협 연남동지점,일일권,F,기타,3,119.37,1.21,5257.57,41
202501,107,107. 수협 연남동지점,일일권,M,20대,12,889.45,6.71,28965.34,244
202501,107,107. 수협 연남동지점,일일권,M,30대,6,336.56,2.8,12046.21,185
202501,107,107. 수협 연남동지점,일일권,M,40대,3,180.76,1.6,6885.37,43
202501,107,107. 수협 연남동지점,일일권,M,~10대,2,121.12,0.93,4015.41,52
202501,107,107. 수협 연남동지점,일일권,M,기타,4,630.11,5.37,23149.12,271
202501,107,107. 수협 연남동지점,일일권(비회원),,기타,7,226.87,2.05,8813.44,65
202501,107,107. 수협 연남동지점,정기권,,20대,163,4990.55,45.72,199725.14,2385
202501,107,107. 수협 연남동지점,정기권,,30대,91,3687.41,29.95,129052.44,1792
